Algorithm	1	5	0.0	0.94	2	1	0
1:	Deploy	6	0.0	0.88	3	2	0
2:	do	2	0.0	0.85	3	4	0
3:	Construct	8	0.0	0.88	3	2	0
v	=	2	0.0	0.7	1	3	0
,n)	4:	52	0.0	0.85	3	3	0
Algorithm	2	2	0.0	1.0	2	1	0
$$$	Rr	1	0.0	0.9	5	2	0
v	=	2	0.0	0.7	1	3	0
,n)	Input:	17	0.0	0.86	3	2	0
1:	Rr	2	0.0	0.85	3	2	0
v	2:	9	0.0	0.84	1	3	0
3:	Rr	2	0.0	0.85	3	2	0
v	Rr	2	0.0	0.7	1	2	0
v	{i}	2	0.0	0.7	1	3	0
4:	for	49	0.0	0.84	3	4	0
A.	Identifying	69	0.0	0.99	1	2	0
Algorithm	3	2	0.0	1.0	2	1	0
[F,	O]	4	0.0	0.9	3	2	0
v	,	2	0.0	0.7	1	3	0
a	bc	7	0.0	0.81	4	4	0
v	;	20	0.0	0.83	1	3	0
1:	F	3	0.0	0.86	3	1	0
2:	E	3	0.0	0.86	3	1	0
v	)	2	0.0	0.7	1	3	0
3:	for	5	0.0	0.88	3	4	0
v	E	3	0.0	0.76	1	1	0
4:	UnCovij	3	0.0	0.86	3	2	0
i	jku	71	0.0	0.85	1	4	0
$$$	i	1	0.0	0.96	5	1	0
$$$	j	1	0.0	0.96	5	4	0
k	1	2	0.0	0.81	4	1	0
k	2	2	0.0	0.81	4	1	0
$$$	i	1	0.0	0.96	5	1	0
$$$	j	1	0.0	0.96	5	4	0
k	1	2	0.0	0.81	4	1	0
k	2	2	0.0	0.81	4	1	0
Fig.	7.	5	0.0	0.8	0	1	0
1	}	6	0.0	0.76	1	3	0
2	}	40	0.0	0.78	1	3	0
Algorithm	3	222	0.0	0.98	2	1	0
i.	If	145	0.0	0.99	1	2	0
$$$	3411	1	1.0	0.8	5	4	0
i	j	3	0.0	0.72	1	4	0
$$$	k	1	0.0	0.72	5	4	0
1	k	2	0.0	0.61	1	4	0
$$$	2	1	0.0	0.5	5	1	0
(a)	Exception	914	0.00109409190372	0.0	3	2	0
of	the	274	0.0	0.99	4	4	0
$$$	8	1	0.0	0.54	5	1	0
$$$	12	1	0.0	0.54	5	1	0
$$$	10	1	0.0	0.54	5	1	0
$$$	11	1	0.0	0.54	5	1	0
$$$	6	1	0.0	0.54	5	1	0
7	3	2	0.0	0.54	1	1	0
$$$	2	1	0.0	0.54	5	1	0
$$$	1	1	0.0	0.54	5	1	0
$$$	9	1	0.0	0.54	5	1	0
$$$	source	1	1.0	0.38	5	4	0
5	4	2	0.0	0.54	1	1	0
(a)	Shortest	16	0.0	0.8	3	2	0
$$$	8	1	0.0	0.54	5	1	0
12	10	2	0.0	0.54	1	1	0
$$$	11	1	0.0	0.54	5	1	0
$$$	6	1	0.0	0.54	5	1	0
7	3	2	0.0	0.54	1	1	0
$$$	2	1	0.0	0.54	5	1	0
$$$	1	1	0.0	0.54	5	1	0
$$$	9	1	0.0	0.54	5	1	0
$$$	source	1	1.0	0.38	5	4	0
5	4	2	0.0	0.54	1	1	0
$$$	13	1	0.0	0.54	5	1	0
(b)	Robots	70	0.0	0.88	3	2	0
direction	for	7	0.0	1.0	4	4	0
j	new	133	0.0	0.99	4	4	0
desired	bearing	265	0.0	0.98	4	4	0
(a)	The	27	0.0	0.8	3	2	0
v	i	2	0.0	0.56	1	1	0
u	i	2	0.0	0.56	4	1	0
(b)	Upon	145	0.0	0.95	3	2	0
D.	and	47	0.0	0.98	1	4	0
$$$	3413	1	1.0	0.8	5	4	0
is	the	125	0.0	0.98	4	4	0
$$$	Z	1	0.0	1.0	5	1	0
2	of	110	0.0	0.99	1	4	0
IV.	GUARANTEES	2	0.0	1.0	1	2	0
Since	throughout	14	0.0	1.0	2	4	0
rv	)	271	0.0	0.99	4	3	0
frontier.	Thus,	379	0.0	0.99	4	2	0
V.	RESULTS	2	0.0	1.0	1	2	0
We	demonstrate	60	0.0	1.0	2	4	0
A.	Comparison	75	0.0	1.0	1	2	0
$$$	3414	1	1.0	0.8	5	4	0
robots	deployed	35	0.0	1.0	4	4	0
(a)	Deployment	15	0.0	0.8	3	2	0
(b)	Hexagonal	27	0.0	0.8	3	2	0
B.	Structured	3	0.0	1.0	1	2	0
Our	algorithm	49	0.0	1.0	2	4	0
(a)	T	8	0.0	0.8	3	1	0
(c)	T	58	0.0	0.8	3	1	0
VI.	DISCUSSIONS	2	0.0	1.0	1	2	0
In	this	114	0.0	1.0	2	4	0
$$$	REFERENCES	1	0.0	1.0	5	2	0
[1]	IA	569	0.0	0.8	3	2	0
$$$	3415	1	1.0	0.8	5	4	0
